Creator | HOW TO USE THIS LIST,Form_url(Will Be Hidden),OiaSS Rating,Rated On,Community Rating,No Cloud Backup,Minor errors,Unorganized files,No renders,No slicer files,Unsupported islands,Unsupported Files,Print Failures,Major errors,Submit Rating,Last Update Time,
2moronic miniatures,https://docs.google.com/forms/d/1qVRCVtgWnYtEIndS7mRf_OCoAvHM2WkpWhIN_HilQio/edit,,,B TIER,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
2nd Dynasty,https://docs.google.com/forms/d/18IauFGF07wRkRI7PQwM-uBKe0X1w1SH5cWoi5RaypeQ/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
3D Print Cleric,https://docs.google.com/forms/d/1u69wy1NxOxj1tV5PfBdd5SBZ0aClFRvnum5hCLmTV3E/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
3DArtGuy,https://docs.google.com/forms/d/1jxdKpq-4I5S4QM1z7oIjYJ5YvCBqdT34nx1t9nGJF_A/edit,,,A TIER,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
3DeRatopsStudio,https://docs.google.com/forms/d/1mhd_MNRN1gxSKnnPKLLmwhc3ZBYZgMLSje47SlQxCdc/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
3DHexes,https://docs.google.com/forms/d/1BQFtImCB0cvNzwmb2VwOKFBL8LexOtdjbSRgVuCofaQ/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
3DRune,https://docs.google.com/forms/d/1CU-LnyJdDDDD3nidkcjNxmZN0HAGcn4c9apDjfZb-wo/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Adamant Arsenal,https://docs.google.com/forms/d/1EhNmsoNlLZaU0aY3Ugm-0kuUh-CI5Fg06YWMob0bolc/edit,,,S TIER,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Admiral Apocalypse,https://docs.google.com/forms/d/1z5sWZliVMeMfCxhLXKKuAjBJLX1WLS6ZNUCaH-SCMLI/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Alphonse Marcel,https://docs.google.com/forms/d/1U4mccEn3nzsnVwNdXFvM1Qv9IMXUecULPWzrnY-KLbg/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
